被试,clip,truth,predPeak,predRatio,predMean,peakScore,meanScore,fatigueRatio,peakPerclos,peakClosureMs,nValid,nFrames
001,glasses_sleepyCombination_drowsy,1,1,1,1,92,37.86,0.5159,0.473,3166,2144,2149
001,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,56.65,0.8589,1,3200,1212,1217
001,glasses_yawning_drowsy,1,0,0,0,13.91,6.28,0,0.0115,34,1007,1007
001,noglasses_sleepyCombination_drowsy,1,1,1,1,92,47.01,0.7186,0.5267,8266,2381,2381
001,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,62.02,0.8518,0.6572,7233,1154,1154
001,noglasses_yawning_drowsy,1,1,1,1,92,36.61,0.8634,0.5988,2066,1676,1676
001,glasses_nonsleepyCombination_notdrowsy,0,0,0,0,17.45,12.46,0,0.0429,334,3245,3330
001,glasses_sleepyCombination_notdrowsy,0,0,0,0,6.89,3.82,0,0.1982,267,599,599
001,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,2.77,0.3,0,0.2833,300,704,704
001,glasses_yawning_notdrowsy,0,0,0,0,5.47,1.53,0,0.134,100,843,843
001,noglasses_nonsleepyCombination_notdrowsy,0,0,0,0,17.78,4.34,0,0.1876,433,2676,2732
001,noglasses_sleepyCombination_notdrowsy,0,0,0,0,7.5,1.17,0,0.1043,466,330,330
001,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,19.18,10.68,0,1,767,698,698
001,noglasses_yawning_notdrowsy,0,0,0,0,4.35,0.7,0,1,167,196,196
002,glasses_sleepyCombination_drowsy,1,1,1,1,92,66.77,0.9329,0.6117,2900,2565,2565
002,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,55.45,0.956,0.6339,3300,1544,1544
002,glasses_yawning_drowsy,1,1,1,0,25.56,15.54,0.6936,0.0765,200,1635,1635
002,noglasses_sleepyCombination_drowsy,1,1,1,1,92,68.61,0.8064,0.5634,5567,2417,2418
002,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,63,0.9385,1,5533,1365,1365
002,noglasses_yawning_drowsy,1,1,1,1,68,36.77,0.8391,0.2763,1233,1069,1069
002,glasses_nonsleepyCombination_notdrowsy,0,1,0,0,68,8.6,0.1429,0.1116,1133,2856,2934
002,glasses_sleepyCombination_notdrowsy,0,0,0,0,0.3,0.01,0,0.0638,166,314,314
002,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,15.07,3.21,0,0.1099,233,485,492
002,glasses_yawning_notdrowsy,0,0,0,0,0,0,0,0.0288,200,432,432
002,noglasses_nonsleepyCombination_notdrowsy,0,1,1,1,92,39.07,0.8123,1,5034,2301,2679
002,noglasses_sleepyCombination_notdrowsy,0,0,0,0,12.59,3.47,0,0.2498,234,239,239
002,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,15.89,7.57,0,0.1587,467,445,445
002,noglasses_yawning_notdrowsy,0,0,0,0,6.37,1.62,0,1,167,702,702
005,glasses_nonsleepyCombination_drowsy,1,0,0,0,0,0,0,0,0,95,95
005,glasses_sleepyCombination_drowsy,1,1,1,1,92,66.33,0.9821,0.897,4066,2633,2635
005,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,57.49,0.9743,0.8226,3000,1909,1909
005,glasses_yawning_drowsy,1,1,1,1,68,41.75,0.9084,0.6665,1166,1835,1835
005,noglasses_sleepyCombination_drowsy,1,1,1,1,92,65.03,0.9596,0.8033,11233,2943,2943
005,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,73.22,0.9522,0.8509,7400,2030,2030
005,noglasses_yawning_drowsy,1,1,1,1,92,64.09,0.9512,0.8467,3633,1640,1640
005,glasses_nonsleepyCombination_notdrowsy,0,1,1,1,68,31.04,0.6826,0.3851,1566,2936,2978
005,glasses_sleepyCombination_notdrowsy,0,0,0,0,2.79,0.5,0,0.1043,333,287,287
005,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,0,0,0,0,0,344,344
005,glasses_yawning_notdrowsy,0,0,0,0,12.61,2.73,0,0.3601,367,463,463
005,noglasses_nonsleepyCombination_notdrowsy,0,1,0,0,68,16.62,0.2847,0.2355,1700,3295,3302
005,noglasses_sleepyCombination_notdrowsy,0,0,0,0,0,0,0,0.0294,200,248,249
005,noglasses_slowBlinkWithNodding_notdrowsy,0,1,0,0,27.19,14.13,0.2242,1,867,223,223
005,noglasses_yawning_notdrowsy,0,0,0,0,20.09,11.35,0,0.5322,534,1000,1000
006,glasses_sleepyCombination_drowsy,1,1,1,1,68,27.31,0.737,0.155,1167,2570,2570
006,glasses_slowBlinkWithNodding_drowsy,1,0,0,0,2.92,1.3,0,0.1089,334,193,193
006,glasses_nonsleepyCombination_notdrowsy,0,1,0,0,25.12,11.04,0.2002,0.1439,600,2812,2868
006,glasses_sleepyCombination_notdrowsy,0,0,0,0,0,0,0,0,0,279,279
006,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,10.21,3.73,0,0.1982,100,829,829
