被试,clip,truth,predPeak,predRatio,predMean,peakScore,meanScore,fatigueRatio,peakPerclos,peakClosureMs,nValid,nFrames
001,glasses_sleepyCombination_drowsy,1,1,1,1,92,33.71,0.5149,0.4041,3133,2144,2149
001,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,55,0.8531,0.8574,3200,1212,1217
001,glasses_yawning_drowsy,1,0,0,0,17.33,12.21,0,0,0,1007,1007
001,noglasses_sleepyCombination_drowsy,1,1,1,1,92,45.6,0.677,0.4966,8233,2381,2381
001,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,62.65,0.851,0.6432,7233,1154,1154
001,noglasses_yawning_drowsy,1,1,1,1,92,32.98,0.8616,0.2485,2033,1676,1676
001,glasses_nonsleepyCombination_notdrowsy,0,0,0,0,20.85,15.42,0,0.015,134,3245,3330
001,glasses_sleepyCombination_notdrowsy,0,0,0,0,4.85,1.21,0,0.1092,267,599,599
001,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,5.58,1.21,0,0.031,300,704,704
001,glasses_yawning_notdrowsy,0,0,0,0,9.56,3.57,0,0.0073,100,843,843
001,noglasses_nonsleepyCombination_notdrowsy,0,0,0,0,5.22,1.53,0,0.134,433,2676,2732
001,noglasses_sleepyCombination_notdrowsy,0,0,0,0,3.43,0.5,0,0.0609,466,330,330
001,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,16.43,8.59,0,1,767,698,698
001,noglasses_yawning_notdrowsy,0,0,0,0,0.69,0.06,0,1,167,196,196
002,glasses_sleepyCombination_drowsy,1,1,1,1,92,54.19,0.8133,0.3283,2867,2565,2565
002,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,54.34,0.956,0.6261,3267,1544,1544
002,glasses_yawning_drowsy,1,0,0,0,17.25,13.72,0,0.0415,200,1635,1635
002,noglasses_sleepyCombination_drowsy,1,1,1,1,92,64.38,0.8064,0.5218,5533,2417,2418
002,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,66.27,0.9377,1,5500,1365,1365
002,noglasses_yawning_drowsy,1,1,1,1,68,32.59,0.9055,0.145,1233,1069,1069
002,glasses_nonsleepyCombination_notdrowsy,0,0,0,0,23.62,7.34,0,0.0485,866,2856,2934
002,glasses_sleepyCombination_notdrowsy,0,0,0,0,0,0,0,0.0363,166,314,314
002,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,12.56,5.65,0,0.0754,233,485,492
002,glasses_yawning_notdrowsy,0,0,0,0,0,0,0,0.0242,200,432,432
002,noglasses_nonsleepyCombination_notdrowsy,0,1,1,1,92,32.79,0.6084,0.5115,4834,2301,2679
002,noglasses_sleepyCombination_notdrowsy,0,0,0,0,6.56,1.49,0,0.2054,233,239,239
002,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,20.89,9.76,0,0.1197,467,445,445
002,noglasses_yawning_notdrowsy,0,0,0,0,12.68,4.67,0,1,167,702,702
005,glasses_nonsleepyCombination_drowsy,1,0,0,0,0,0,0,0,0,95,95
005,glasses_sleepyCombination_drowsy,1,1,1,1,92,49.39,0.9643,0.8666,4066,2633,2635
005,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,35.61,0.8366,0.2765,2967,1909,1909
005,glasses_yawning_drowsy,1,1,1,0,38.11,21.37,0.4376,0.0449,1066,1835,1835
005,noglasses_sleepyCombination_drowsy,1,1,1,1,92,64.02,0.9589,0.6267,11167,2943,2943
005,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,74.61,0.9498,0.6651,7400,2030,2030
005,noglasses_yawning_drowsy,1,1,1,1,92,61.31,0.9348,0.5316,2967,1640,1640
005,glasses_nonsleepyCombination_notdrowsy,0,1,0,0,68,19.35,0.2793,0.0934,1134,2936,2978
005,glasses_sleepyCombination_notdrowsy,0,0,0,0,2.02,0.36,0,0.0347,300,287,287
005,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,0,0,0,0,0,344,344
005,glasses_yawning_notdrowsy,0,0,0,0,18.99,3.59,0,0.015,300,463,463
005,noglasses_nonsleepyCombination_notdrowsy,0,0,0,0,20.7,12.7,0,0.012,334,3295,3302
005,noglasses_sleepyCombination_notdrowsy,0,0,0,0,0,0,0,0.0247,200,248,249
005,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,17.11,10.45,0,0.8996,800,223,223
005,noglasses_yawning_notdrowsy,0,1,0,0,25.63,14.3,0.114,0.4474,534,1000,1000
006,glasses_sleepyCombination_drowsy,1,1,1,0,28.24,21.79,0.7066,0.0083,934,2570,2570
006,glasses_slowBlinkWithNodding_drowsy,1,0,0,0,10.09,3.05,0,0,0,193,193
006,glasses_nonsleepyCombination_notdrowsy,0,1,1,0,26.8,17.47,0.633,0.0623,566,2812,2868
006,glasses_sleepyCombination_notdrowsy,0,0,0,0,0,0,0,0,0,279,279
006,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,17.33,8.26,0,0,0,829,829
