实验组,描述,灵敏度,特异度,准确率,F1,MCC,AUC,漏报率FNR,误报率FPR,平衡准确率,漏检数,平均延迟(秒)
基线（原始参数）,level30 + EMA0.12 + 旧权重,0.748364,1,0.786873,0.856073,0.559262,0.999594,0.251636,0,0.874182,0,30.53
轻度分界 28,轻度分界 30→28,0.780038,1,0.8137,0.876428,0.593115,0.999594,0.219962,0,0.890019,0,26.70
轻度分界 26,轻度分界 30→26,0.81155,1,0.840389,0.895973,0.630271,0.999594,0.18845,0,0.905775,0,22.99
轻度分界 24,轻度分界 30→24,0.816365,1,0.844467,0.898899,0.636301,0.999594,0.183635,0,0.908182,0,22.40
EMA 0.15,EMA 0.12→0.15,0.748715,1,0.787171,0.856303,0.559621,0.99973,0.251285,0,0.874358,0,30.48
EMA 0.18,EMA 0.12→0.18,0.748905,1,0.787331,0.856427,0.559815,0.99973,0.251095,0,0.874452,0,30.45
PERCLOS窗口 20s,窗口 30→20s,0.780633,1,0.814204,0.876804,0.593783,0.999594,0.219367,0,0.890316,0,25.37
组合A: 28+EMA0.15,轻度分界28 + EMA0.15,0.78039,1,0.813998,0.87665,0.59351,0.99973,0.21961,0,0.890195,0,26.64
组合B: 26+EMA0.18,轻度分界26 + EMA0.18,0.812794,1,0.841443,0.896731,0.63182,0.99973,0.187206,0,0.906397,0,22.84
组合C: 28+EMA0.15+窗口20,三参数组合优化,0.790046,1,0.822176,0.88271,0.604506,0.99973,0.209954,0,0.895023,0,24.26
