参数名,取值,是否当前默认,平均疲劳指数,峰值疲劳指数,疲劳时间占比,重度时间占比,等级跃迁次数
PERCLOS 隶属下限,0.02,0,50.2,96.26,0.793558,0.284287,30
PERCLOS 隶属下限,0.04,0,49.35,96.26,0.771223,0.284018,32
PERCLOS 隶属下限,0.06,1,48.5,96.26,0.768575,0.283838,34
PERCLOS 隶属下限,0.08,0,47.59,96.26,0.767318,0.282469,40
PERCLOS 隶属下限,0.1,0,46.65,96.26,0.765567,0.277396,44
PERCLOS 隶属下限,0.13,0,45.33,96.26,0.765567,0.276857,50
PERCLOS 隶属下限,0.16,0,44.3,96.26,0.765567,0.276341,56
PERCLOS 隶属下限,0.2,0,43.07,96.26,0.765567,0.266846,84
危险闭眼时长,1000,0,49.08,96.26,0.772817,0.389226,112
危险闭眼时长,1200,0,48.81,96.26,0.769832,0.300224,59
危险闭眼时长,1500,0,48.62,96.26,0.768575,0.285051,36
危险闭眼时长,1800,1,48.5,96.26,0.768575,0.283838,34
危险闭眼时长,2200,0,48.42,96.26,0.768575,0.276072,34
危险闭眼时长,2600,0,48.38,96.26,0.768575,0.275376,34
危险闭眼时长,3000,0,48.36,96.26,0.768575,0.273401,34
EMA 平滑系数,0.04,0,48.19,96.26,0.757329,0.282716,32
EMA 平滑系数,0.08,0,48.39,96.26,0.759618,0.283345,32
EMA 平滑系数,0.12,0,48.46,96.26,0.770325,0.283591,32
EMA 平滑系数,0.18,1,48.5,96.26,0.768575,0.283838,34
EMA 平滑系数,0.25,0,48.53,96.27,0.768754,0.283412,36
EMA 平滑系数,0.35,0,48.55,96.28,0.768956,0.283524,36
EMA 平滑系数,0.5,0,48.57,96.28,0.802155,0.283636,42
轻度疲劳分界,20,0,48.5,96.26,0.814231,0.283838,32
轻度疲劳分界,24,1,48.5,96.26,0.768575,0.283838,34
轻度疲劳分界,28,0,48.5,96.26,0.738967,0.283838,32
轻度疲劳分界,30,0,48.5,96.26,0.711919,0.283838,32
轻度疲劳分界,34,0,48.5,96.26,0.67679,0.283838,35
轻度疲劳分界,38,0,48.5,96.26,0.651358,0.283838,37
轻度疲劳分界,44,0,48.5,96.26,0.553154,0.283838,33
重度疲劳分界,62,0,48.5,96.26,0.553154,0.437823,39
重度疲劳分界,68,0,48.5,96.26,0.553154,0.399439,59
重度疲劳分界,74,1,48.5,96.26,0.553154,0.283838,33
重度疲劳分界,80,0,48.5,96.26,0.553154,0.267048,33
重度疲劳分界,86,0,48.5,96.26,0.553154,0.260337,41
重度疲劳分界,92,0,48.5,96.26,0.553154,0.244355,53
