被试,clip,truth,predPeak,predRatio,predMean,peakScore,meanScore,fatigueRatio,peakPerclos,peakClosureMs,nValid,nFrames
001,glasses_sleepyCombination_drowsy,1,1,1,1,92,38.24,0.5159,0.473,3166,2144,2149
001,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,57.9,0.8589,1,3200,1212,1217
001,glasses_yawning_drowsy,1,0,0,0,17.38,7.85,0,0.0115,34,1007,1007
001,noglasses_sleepyCombination_drowsy,1,1,1,1,92,47.4,0.7203,0.5267,8266,2381,2381
001,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,62.57,0.8518,0.6572,7233,1154,1154
001,noglasses_yawning_drowsy,1,1,1,1,92,37.08,0.864,0.5988,2066,1676,1676
001,glasses_nonsleepyCombination_notdrowsy,0,0,0,0,21.83,15.65,0,0.0429,334,3245,3330
001,glasses_sleepyCombination_notdrowsy,0,0,0,0,7.16,3.98,0,0.1982,267,599,599
001,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,2.77,0.3,0,0.2833,300,704,704
001,glasses_yawning_notdrowsy,0,0,0,0,6.84,1.91,0,0.134,100,843,843
001,noglasses_nonsleepyCombination_notdrowsy,0,0,0,0,18.91,4.85,0,0.1876,433,2676,2732
001,noglasses_sleepyCombination_notdrowsy,0,0,0,0,7.5,1.17,0,0.1043,466,330,330
001,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,19.2,10.69,0,1,767,698,698
001,noglasses_yawning_notdrowsy,0,0,0,0,4.35,0.7,0,1,167,196,196
002,glasses_sleepyCombination_drowsy,1,1,1,1,92,63.55,0.9329,0.6117,2900,2565,2565
002,glasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,55.76,0.956,0.6339,3300,1544,1544
002,glasses_yawning_drowsy,1,0,0,0,19.16,10.52,0,0.0765,200,1635,1635
002,noglasses_sleepyCombination_drowsy,1,1,1,1,92,66.41,0.806,0.5634,5567,2417,2418
002,noglasses_slowBlinkWithNodding_drowsy,1,1,1,1,92,64.26,0.9385,1,5533,1365,1365
002,noglasses_yawning_drowsy,1,1,1,1,68,34.54,0.8391,0.2763,1233,1069,1069
002,glasses_nonsleepyCombination_notdrowsy,0,1,0,0,68,9.22,0.1429,0.1116,1133,2856,2934
002,glasses_sleepyCombination_notdrowsy,0,0,0,0,0.3,0.01,0,0.0638,166,314,314
002,glasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,17.85,3.44,0,0.1099,233,485,492
002,glasses_yawning_notdrowsy,0,0,0,0,0,0,0,0.0288,200,432,432
002,noglasses_nonsleepyCombination_notdrowsy,0,1,1,1,92,40.57,0.8166,1,5034,2301,2679
002,noglasses_sleepyCombination_notdrowsy,0,0,0,0,12.59,3.47,0,0.2498,234,239,239
002,noglasses_slowBlinkWithNodding_notdrowsy,0,0,0,0,15.94,7.58,0,0.1587,467,445,445
002,noglasses_yawning_notdrowsy,0,0,0,0,7.96,2.02,0,1,167,702,702
