被试,alert帧,drowsy帧,alert闭眼率,drowsy闭眼率,几何AUC,语义AUC,融合AUC,EAR基线,闭眼阈值
01,61,60,0.016,0.017,0.4459,0.5779,0.5301,0.284,0.204
02,61,61,0.000,0.016,0.6141,0.6482,0.6224,0.290,0.209
03,67,59,0.000,0.017,0.9312,0.9378,0.9355,0.290,0.209
04,58,59,0.000,0.034,0.3340,0.3835,0.3146,0.288,0.207
05,61,58,0.000,0.086,0.6533,0.7511,0.6945,0.318,0.229
06,59,42,0.017,0.071,0.6233,0.6314,0.6299,0.281,0.202
07,60,59,0.000,0.034,0.6242,0.5702,0.6073,0.267,0.192
08,58,56,0.000,0.054,0.5060,0.4049,0.4437,0.281,0.202
09,58,62,0.034,0.032,0.6342,0.4994,0.6279,0.311,0.224
10,54,61,0.000,0.016,0.7524,0.7394,0.7678,0.252,0.182
11,60,58,0.000,0.017,0.8091,0.6930,0.8063,0.324,0.233
12,56,44,0.036,0.182,0.8336,0.7628,0.8267,0.333,0.240
13,58,58,0.000,0.103,0.9770,0.9991,0.9831,0.351,0.253
14,51,60,0.000,0.017,0.4776,0.4131,0.4279,0.292,0.210
15,62,62,0.097,0.016,0.5212,0.5648,0.5317,0.261,0.188
16,45,58,0.000,0.052,0.8969,0.8699,0.9224,0.322,0.232
17,59,60,0.000,0.067,0.9326,0.9174,0.9314,0.343,0.247
18,61,64,0.131,0.109,0.7587,0.7342,0.7426,0.241,0.174
19,60,61,0.033,0.082,0.4038,0.3836,0.3760,0.292,0.210
20,62,69,0.016,0.391,0.9253,0.9586,0.9367,0.255,0.184
21,58,58,0.000,0.052,0.5813,0.4917,0.5581,0.276,0.199
22,61,62,0.016,0.113,0.9662,0.9693,0.9667,0.271,0.195
24,74,77,0.122,0.026,0.7718,0.7624,0.7578,0.271,0.195
25,58,57,0.000,0.000,0.9466,0.9484,0.9561,0.308,0.222
26,59,66,0.000,0.061,0.3611,0.4011,0.3697,0.310,0.223
27,61,60,0.000,0.017,0.7706,0.6133,0.7594,0.293,0.211
28,53,63,0.000,0.016,0.4606,0.4651,0.4178,0.231,0.166
29,63,64,0.048,0.047,0.6974,0.7304,0.7078,0.224,0.161
30,68,61,0.000,0.049,0.6783,0.6184,0.6716,0.290,0.209
34,73,59,0.000,0.119,0.5719,0.6184,0.5749,0.255,0.183
35,55,66,0.018,0.197,0.8200,0.7937,0.8153,0.296,0.213
36,61,63,0.000,0.016,0.5194,0.6136,0.5528,0.266,0.192
37,69,68,0.000,0.044,0.6549,0.6587,0.6569,0.253,0.182
38,60,61,0.000,0.164,0.6943,0.5790,0.6891,0.274,0.197
39,61,58,0.000,0.155,0.9822,0.9739,0.9833,0.262,0.188
41,62,90,0.000,0.633,0.7772,0.7870,0.7759,0.240,0.173
42,60,60,0.000,0.083,0.8904,0.8933,0.9064,0.293,0.211
43,58,51,0.000,0.039,0.7804,0.8127,0.8154,0.282,0.203
45,64,63,0.016,0.032,0.7510,0.7929,0.7566,0.310,0.224
46,59,59,0.000,0.085,0.8414,0.9147,0.8713,0.236,0.170
47,59,60,0.000,0.017,0.8907,0.9056,0.8986,0.331,0.239
48,62,58,0.032,0.052,0.7710,0.7686,0.7689,0.269,0.194
49,60,64,0.000,0.453,0.7927,0.8036,0.7862,0.276,0.199
50,60,63,0.017,0.000,0.6540,0.4272,0.6176,0.263,0.189
51,60,62,0.000,0.065,0.8878,0.8767,0.9038,0.278,0.200
52,58,58,0.000,0.034,0.5370,0.4102,0.5082,0.237,0.171
53,59,60,0.000,0.033,0.9393,0.8951,0.9417,0.300,0.216
56,61,63,0.000,0.048,0.7901,0.8768,0.8348,0.282,0.203
57,61,59,0.000,0.017,0.8634,0.7770,0.8519,0.272,0.196
58,60,60,0.033,0.000,0.7507,0.7540,0.7549,0.305,0.220
59,58,60,0.052,0.050,0.4078,0.4053,0.4126,0.316,0.228
