参数名,取值,是否当前默认值(1=是),会话结论,平均疲劳指数,峰值疲劳指数,疲劳时间占比,重度时间占比,等级跃迁次数
PERCLOS 隶属下限,0.02,0,重度,42.31,92,0.5458,0.2218,5
PERCLOS 隶属下限,0.04,0,重度,41.59,92,0.5423,0.2183,5
PERCLOS 隶属下限,0.06,1,重度,41,92,0.5387,0.2183,5
PERCLOS 隶属下限,0.08,0,重度,40.39,92,0.5317,0.2148,5
PERCLOS 隶属下限,0.1,0,重度,39.86,92,0.5211,0.2148,5
PERCLOS 隶属下限,0.13,0,重度,39.21,92,0.5106,0.2113,5
PERCLOS 隶属下限,0.16,0,重度,38.49,92,0.5,0.2113,5
PERCLOS 隶属下限,0.2,0,重度,37.6,92,0.5,0.2113,5
危险闭眼时长,1000,0,重度,42.7,92,0.5458,0.2254,8
危险闭眼时长,1200,0,重度,42.45,92,0.5458,0.2254,7
危险闭眼时长,1500,0,重度,42.12,92,0.5458,0.2183,6
危险闭眼时长,1800,1,重度,41,92,0.5387,0.2183,5
危险闭眼时长,2200,0,重度,40.74,92,0.5387,0.2113,4
危险闭眼时长,2600,0,重度,40.37,88.4,0.5387,0.2077,3
危险闭眼时长,3000,0,重度,40.37,88.4,0.5387,0.2077,3
EMA 平滑系数,0.04,0,重度,37.19,92,0.5035,0.1937,6
EMA 平滑系数,0.08,0,重度,39.95,92,0.5317,0.2113,5
EMA 平滑系数,0.12,1,重度,41,92,0.5387,0.2183,5
EMA 平滑系数,0.18,0,重度,41.72,92,0.5423,0.2254,5
EMA 平滑系数,0.25,0,重度,42.13,92,0.5423,0.2289,5
EMA 平滑系数,0.35,0,重度,42.43,92,0.5458,0.2359,5
EMA 平滑系数,0.5,0,重度,42.65,92,0.5458,0.2394,6
轻度疲劳分界,20,0,重度,41,92,0.6655,0.2183,5
轻度疲劳分界,24,0,重度,41,92,0.6338,0.2183,5
轻度疲劳分界,28,0,重度,41,92,0.5423,0.2183,5
轻度疲劳分界,30,1,重度,41,92,0.5387,0.2183,5
轻度疲劳分界,34,0,重度,41,92,0.5211,0.2183,5
轻度疲劳分界,38,0,重度,41,92,0.5035,0.2183,5
轻度疲劳分界,44,0,重度,41,92,0.4683,0.2183,5
重度疲劳分界,62,0,重度,41,92,0.5387,0.3099,3
重度疲劳分界,68,0,重度,41,92,0.5387,0.2958,5
重度疲劳分界,74,1,重度,41,92,0.5387,0.2183,5
重度疲劳分界,80,0,重度,41,92,0.5387,0.1937,6
重度疲劳分界,86,0,重度,41,92,0.5387,0.1444,7
重度疲劳分界,92,0,重度,41,92,0.5387,0.0282,9
