时间(毫秒),疲劳指数,平滑前原始指数,疲劳等级,闭眼时间占比PERCLOS,闭眼占比是否已就绪(1=是),当前闭合程度(0-1),窗口内最长闭眼(毫秒),当前连续闭眼(毫秒),眨眼频率(次每分),平均眨眼时长(毫秒),哈欠频率(次每分),点头频率(次每分),头部偏离前方占比,眼睛开合度EAR,嘴巴张开度MAR,抬头低头角(度),左右转头角(度),头部倾斜角(度),是否检测到人脸(1=是),数据是否有效(1=是)
858,0,0,清醒,0,0,0.014,0,0,0,,0,0,0,0.298,0.0619,0,2.33,0.42,1,1
1386,0,0,清醒,0,0,0.002,0,0,0,,0,0,0,0.2997,0.0664,0.25,2.44,0.51,1,1
1914,0,0,清醒,0.0938,0,0.012,99,0,56.82,99,0,0,0,0.2983,0.072,0.49,2.49,0.59,1,1
2442,0,0,清醒,0.0625,0,0.002,99,0,37.88,99,0,0,0,0.2998,0.0719,0.72,2.5,0.67,1,1
2970,0,0,清醒,0.0469,0,0,99,0,28.41,99,0,0,0,0.302,0.0705,0.91,2.45,0.73,1,1
3498,0,0,清醒,0.0375,0,0,99,0,22.73,99,0,0,0,0.3024,0.0615,1.06,2.35,0.79,1,1
4026,0,0,清醒,0.0313,0,0.006,99,0,18.94,99,0,0,0,0.2991,0.054,1.17,2.21,0.83,1,1
4554,0,0,清醒,0.0268,0,0.014,99,0,16.23,99,0,0,0,0.2981,0.0483,1.24,2.02,0.86,1,1
5082,0,0,清醒,0.0469,0,0.006,99,0,28.41,99,0,0,0,0.2992,0.0471,1.25,1.79,0.87,1,1
5610,0,0,清醒,0.0417,0,0.01,99,0,25.25,99,0,0,0,0.2986,0.0493,1.21,1.53,0.87,1,1
6138,0,0,清醒,0.0375,0,0.019,99,0,22.73,99,0,0,0,0.2974,0.0542,1.12,1.23,0.86,1,1
6666,0,0,清醒,0.0341,0,0,99,0,20.66,99,0,0,0,0.3014,0.0603,0.99,0.91,0.84,1,1
7194,0,0,清醒,0.0313,0,0.009,99,0,18.94,99,0,0,0,0.2988,0.0673,0.81,0.57,0.81,1,1
7722,0,0,清醒,0.0288,0,0,99,0,17.48,99,0,0,0,0.3023,0.0709,0.6,0.22,0.76,1,1
8250,0,0,清醒,0.0268,0,0.005,99,0,16.23,99,0,0,0,0.2993,0.0693,0.37,-0.14,0.7,1,1
8778,0,0,清醒,0.0333,0,1,99,66,15.15,99,0,0,0,0.0521,0.0662,0.12,-0.49,0.63,1,1
9306,0,0,清醒,0.0352,0,0.013,99,0,21.31,99,0,0,0,0.2982,0.0585,-0.13,-0.84,0.55,1,1
9834,0,0,清醒,0.0331,0,0,99,0,20.05,99,0,0,0,0.3005,0.0528,-0.38,-1.16,0.46,1,1
10362,0,0,清醒,0.0313,0,0,99,0,18.94,99,0,0,0,0.3025,0.0492,-0.61,-1.47,0.37,1,1
10890,0,0,清醒,0.0296,1,0.007,99,0,17.94,99,0,0,0,0.299,0.0481,-0.82,-1.74,0.27,1,1
11418,0,0,清醒,0.0281,1,0.006,99,0,17.05,99,0,0,0,0.2992,0.0505,-0.99,-1.98,0.16,1,1
11946,0,0,清醒,0.0268,1,0,99,0,16.23,99,0,0,0,0.3,0.0556,-1.13,-2.17,0.06,1,1
12474,0,0,清醒,0.0313,1,0,99,0,20.66,91,0,0,0,0.3017,0.0628,-1.21,-2.33,-0.05,1,1
13002,0,0,清醒,0.0299,1,0.013,99,0,19.76,91,0,0,0,0.2982,0.0694,-1.25,-2.43,-0.16,1,1
13530,0,0,清醒,0.0286,1,0,99,0,18.94,91,0,0,0,0.3026,0.0722,-1.23,-2.49,-0.26,1,1
14058,0,0,清醒,0.0275,1,0,99,0,18.18,91,0,0,0,0.3028,0.0719,-1.17,-2.5,-0.36,1,1
14586,0,0,清醒,0.0264,1,0.017,99,0,17.48,91,0,0,0,0.2976,0.0646,-1.05,-2.45,-0.46,1,1
15114,0,0,清醒,0.0255,1,0,99,0,16.84,91,0,0,0,0.3014,0.0571,-0.9,-2.36,-0.55,1,1
15642,0,0,清醒,0.0246,1,0.013,99,0,16.23,91,0,0,0,0.2982,0.0535,-0.7,-2.21,-0.63,1,1
16170,0,0,清醒,0.0302,1,0.02,99,0,19.59,92,0,0,0,0.2972,0.0468,-0.48,-2.03,-0.7,1,1
16698,0,0,清醒,0.0292,1,0.019,99,0,18.94,92,0,0,0,0.2973,0.0485,-0.24,-1.8,-0.76,1,1
17226,0,0,清醒,0.0282,1,0.011,99,0,18.33,92,0,0,0,0.2984,0.0545,0.02,-1.53,-0.8,1,1
17754,0,0,清醒,0.0273,1,0,99,0,17.76,92,0,0,0,0.3024,0.0609,0.27,-1.24,-0.84,1,1
18282,0,0,清醒,0.0265,1,0,99,0,17.22,92,0,0,0,0.3007,0.0643,0.51,-0.91,-0.86,1,1
